cr_film_id,url,title,original_title,year,preferred_lang_class,display_name,candidate_count,failure_reasons,candidate_upload_ids
17299,https://ceskarepublika.wiki/filmy-online/nezhojene-rany,Nezhojené rány,Killer Caregiver,2018,CZ_DUB,Nezhojené rány (2018) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/nezhojene-rany-2018-cz-dabing-hd-mp4/94279f23b829cefe,94279f23b829cefe
5516,https://ceskarepublika.wiki/filmy-online/og,O.G.,O.G.,2018,CZ_DUB,O.G. (2018) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/o-g-cz-dabing-2018/5e56590e8e1e8,5e56590e8e1e8
9368,https://ceskarepublika.wiki/filmy-online/prizrak-v-dome,Přízrak v domě,Deadly Inn,2018,CZ_DUB,Přízrak v domě (2018) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/prizrak-v-dome-2018-cz-dabing-hd-mp4/c1cc90479d94ec9b,c1cc90479d94ec9b
16972,https://ceskarepublika.wiki/filmy-online/smrtici-erupce,Smrtící erupce,Eruption: LA,2018,CZ_DUB,Smrtící erupce (2018) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/smrtici-erupce-matthew-willig-eric-etebari-matt-riedy-2018-sci-fi-katastroficky-bdrip-1080p-cz-dabing-mp4/eb2bf840934a0ab1,eb2bf840934a0ab1
4655,https://ceskarepublika.wiki/filmy-online/snove-leto,Snové léto,A Summer to Remember,2018,CZ_DUB,Snové léto (2018) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/snove-leto-2018-cz-dabing-hd-mp4/9fa3414cfec7adb3,9fa3414cfec7adb3
6311,https://ceskarepublika.wiki/filmy-online/ten-pravy-ta-prava,"Ten pravý, ta pravá?",Destination Wedding,2018,CZ_DUB,"Ten pravý, ta pravá? (2018) CZ Dabing",1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/ten-pravy-ta-prava-2018-cz-dab-1080p/ce8439bec1f99fcb,ce8439bec1f99fcb
17402,https://ceskarepublika.wiki/filmy-online/the-beatles-made-on-merseyside,The Beatles: Made on Merseyside,The Beatles: Made on Merseyside,2018,CZ_DUB,The Beatles: Made on Merseyside (2018) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/the-beatles-made-on-merseyside-2018-cz-dabing-hd-mp4/e7fbbc65e643d169,e7fbbc65e643d169
33629,https://ceskarepublika.wiki/filmy-online/u-brany-vecnosti-2018,U brány věčnosti,At Eternity's Gate,2018,CZ_NATIVE,U brány věčnosti (2018) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/u-brany-vecnosti-2018-julian-schnabel-bluray-1080p-dts-hd-ma-5-1-en-cz-sub/6216521a2fc00,6216521a2fc00
7837,https://ceskarepublika.wiki/filmy-online/ve-vztahu,Ve vztahu,In a Relationship,2018,CZ_DUB,Ve vztahu (2018) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/ve-vztahu-2018-cz-dabing/3625e604cf0523cc,3625e604cf0523cc
3825,https://ceskarepublika.wiki/filmy-online/vinylova-laska,Vinylová láska,"Juliet, Naked",2018,CZ_DUB,Vinylová láska (2018) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/vinylova-laska-2018-cz-dabing-hd-mp4/9c12eb4f6e0859cf,9c12eb4f6e0859cf
